paper_id,title,doc_type,chunk_id,source_section,text,topics,pmid,license,rank_score,section_norm
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s0001,Abstract,"[Abstract] Abstract Background Recent in vitro and in vivo studies have suggested that the elastin peptide improves the skin's biophysical properties, enhancing the proliferation of fibroblasts and elastin synthesis, resulting in anti‐aging properties. Therefore, we conducted a randomized, double‐blinded, placebo‐controlled study to clinically evaluate the effect of elastin peptide intake on human skin. Materials and Methods Healthy adult participants ( N = 100) were randomly assigned to receive a test product containing 100 mg of Bonito elastin peptide (VGPG Elastin ® ) or placebo. In this study, all participants were Asian from Korea. The parameters of skin wrinkles, hydration, and brightening (melanin index) were measured at baseline and 4, 8, and 12 weeks after intervention. Results The average skin roughness, maximum peak‐to‐valley values, maximum peak height of the wrinkle, maximum valley depth of the wrinkle, average maximum height of the wrinkle, and eye wrinkle volume improved considerably in the test group compared with the placebo after 12 weeks of intervention. Skin hydration was enhanced, and the melanin index was significantly lower in the test group than in the placebo group. No participant experienced adverse events related to the test product. Conclusion Oral consumption of Bonito elastin peptide (VGPG Elastin®) reduced fine wrinkles, enhanced skin moisture, an","wrinkle_elasticity,barrier_hydration",38481080,CC BY,93,abstract
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1009,DISCUSSION,"[DISCUSSION] 4 DISCUSSION In this study, we investigated the effects of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) supplementation in improving the skin's biophysical properties. We found that 12 weeks of oral elastin peptide supplementation improved skin wrinkles and hydration parameters and decreased the melanin index, with significant differences as compared to the placebo group. Elastin is abundant in the arterial bulb of Bonito fish, and VGPG Elastin ® is sourced from byproducts generated during can and food manufacturing, ensuring traceable supply chains and contributing positively to the environment. The elastic fibers in human skin provide resilience and elasticity due to their high extensibility. Characteristically, fine elastic fibers are abundant in the papillary dermis. Microfibrils bridge the basement membrane and dermal plexus of fibers by merging with the elastic fibers, in contrast to the mature elastic fibers that are intermixed with thick collagen bundles in the reticular dermis. Therefore, the role and changes in the nature and placement of elastic fibers can be prominent in the upper dermal layers, where UV radiation can penetrate and damage the skin, as observed with histopathologic examination. The test group in our study demonstrated improvement in skin roughness and wrinkles (Ra, Rmax, Rz, Rp, Rv) that was objectively measured using PRIMOS, al","wrinkle_elasticity,barrier_hydration",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1010,DISCUSSION," as observed with histopathologic examination. The test group in our study demonstrated improvement in skin roughness and wrinkles (Ra, Rmax, Rz, Rp, Rv) that was objectively measured using PRIMOS, although subjective changes from the baseline were not striking by the gross and Mark Vu examinations. Furthermore, measurement using PRIMOS showed that the eye wrinkle volume, which represents the volume of elevation in the skin surface, was also considerably enhanced, showing skin plumping that contributes to a more youthful look. This smoothness and plumpness of the skin can be explained by increased elastin synthesis and moisturization. As mentioned above, elastic fibers are closely related to the dermo‐epidermal junctions and upper dermal layers. Thus, we can assume that the efficacy of enhanced elastin synthesis by oral consumption of elastin peptide may be foremost at the papillary dermis, which can facilitate detecting the amelioration of fine wrinkles using an objective tool. However, a noticeable decrease in deep wrinkles, as perceived by the naked eye, requires a considerable enhancement in the ECM and major collagen fibers, which may not be the primary finding of elastin peptide intake alone. Although there was no statistically significant decrease between wrinkle grades by visual inspection at baseline and the end of elastin peptide treatment, a comparison of the wrinkle","wrinkle_elasticity,oxidative_stress",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1011,DISCUSSION,"ide intake alone. Although there was no statistically significant decrease between wrinkle grades by visual inspection at baseline and the end of elastin peptide treatment, a comparison of the wrinkle grade changes between the test and placebo groups showed a significant difference. The favorable interpretation of these results for elastin peptide arises from the study's timeframe, i.e., from December to April, when skin conditions typically worsen with roughness. However, the consumption of elastin peptide appeared to prevent such deterioration during this season. As mentioned earlier, we determined that the PRIMOS result is more valid. Visual inspection, even with the assistance of the high‐resolution Mark‐Vu device, exhibited disparities among observers and lacked consistency. In our data, visual inspection did not reveal significant differences or distinct trends, highlighting a contrast with PRIMOS data. This aligns with the findings of a recent systematic review on the reliability and validity of skin‐measuring devices, which identifies PRIMOS as an excellent and reliable device for intra and interobserver assessments. 21 Nevertheless, elastin peptides, which are composed of repeating motifs of valine‐glycine‐valine‐alanine‐proline‐glycine and Pro‐Gly, can reportedly activate elastin synthesis of human dermal fibroblasts. 12 , 16 , 22 Further, elastin peptide intake inhib",wrinkle_elasticity,38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1012,DISCUSSION,"repeating motifs of valine‐glycine‐valine‐alanine‐proline‐glycine and Pro‐Gly, can reportedly activate elastin synthesis of human dermal fibroblasts. 12 , 16 , 22 Further, elastin peptide intake inhibits the apoptosis of fibroblasts in the skin and increases fibroblast proliferation, thereby reinforcing the collagen and elastin content. 15 , 16 , 17 Zhang et al. reported decreased expression of MMP‐3 and interleukin (IL)−1α and concurrent upregulation of tumor growth factor β (TGF‐β), which are collagen and elastin synthesis‐related factors, after the oral administration of elastin peptide in mice. 15 Moreover, senescent cells release various pro‐inflammatory cytokines, such as IL‐1α, IL‐1β, IL‐6, tumor necrosis factor‐α, and MMPs, which are involved in the regulation of collagen and elastin synthesis. 7 Interestingly, Bonito fish‐derived elastin peptide stimulated the expression of TGF‐β, procollagen type I, and collagen type I while downregulating the protein expression of p‐Smad3/Smad (negative factors of the TGF‐ β/Smad pathway), MAPK signaling pathways involving JNK, Fos, Jun, and MMP‐1, 3, and 9 as well as the above‐mentioned pro‐inflammatory cytokines in UVB‐irradiated human fibroblasts and hairless mice. 13 These findings align with our clinical data on the positive effect of elastin peptide consumption in improving skin wrinkles and roughness. Further, the improvement ","uv,wrinkle_elasticity,oxidative_stress,inflammation",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1013,DISCUSSION," fibroblasts and hairless mice. 13 These findings align with our clinical data on the positive effect of elastin peptide consumption in improving skin wrinkles and roughness. Further, the improvement in skin hydration, which contributes to plump, smooth, and moisturized skin, can be explained by increased water content and upregulated expression of hyaluronic acid and hydroxyproline following oral elastin peptide intake in mice, which is similar to the effect of collagen. 15 , 23 Oral consumption of elastin peptide was found to modify the mRNA expression of long‐chain base 1, dihydroceramide desaturase 1, elastin, the protein expression of hyaluronan synthase 2, and ceramide synthase 4, which affects skin moisturization in UV‐irradiated HaCaT keratinocytes and hairless mice. 13 Therefore, elastin peptide intake strengthens the skin barrier and enhances hydration, which was consistent with the findings of the present study. However, the changes in skin barrier functions may be subtle, which could not be demonstrated in this study. Thus, specific tools to detect small differences, especially other than the measurement of transepidermal water loss, should be established. 24 It is compelling that elastin peptide intake exhibits a skin brightening effect. Photoaging skin pigmentation is a sophisticated process that involves senescent cells, including melanocytes, keratinocytes, and ","photoaging,wrinkle_elasticity,barrier_hydration,pigmentation",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1014,DISCUSSION,"elling that elastin peptide intake exhibits a skin brightening effect. Photoaging skin pigmentation is a sophisticated process that involves senescent cells, including melanocytes, keratinocytes, and fibroblasts. 7 Recently, senescent fibroblasts have been implicated importantly in aging‐related skin pigmentation. 25 Compared to perilesional normal skin, pigmented skin samples obtained from aged individuals and patients with melasma and solar lentigo showed a higher number of senescent dermal fibroblasts, along with a greater release of melanogenic signals such as various growth factors and pro‐inflammatory cytokines from senescent fibroblasts and keratinocytes. 25 , 26 , 27 Subsequently, repeated UV‐triggered inflammation by neighboring senescent cells activates melanocytes, resulting in melanin production and accumulation via a prolonged expression of p53‐mediated proopiomelanocortin, which intensifies α‐melanocyte‐stimulating hormone, melanocortin 1 receptors, and microphthalmia‐associated transcription factor (MITF) signaling pathways. 28 , 29 Thus, it is reasonable to infer that therapeutic options aimed at countering skin aging‐induced pigmentation should target senescent fibroblasts, keratinocytes, and melanocytes. In an in vitro study, skipjack (Bonito fish) elastin hydrolysate‐derived peptides mitigated UVA‐induced oxidative stress and apoptosis in HaCaT keratinocytes.","uv,stress,photoaging,wrinkle_elasticity,pigmentation,oxidative_stress,inflammation",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1015,DISCUSSION,"roblasts, keratinocytes, and melanocytes. In an in vitro study, skipjack (Bonito fish) elastin hydrolysate‐derived peptides mitigated UVA‐induced oxidative stress and apoptosis in HaCaT keratinocytes. 14 Moreover, elastin peptide was found to decrease the melanin content. Treatment of B16F10 cells, a melanoma cell line, using Bonito fish elastin peptide decreased the tyrosinase activity, nitric oxide, and cAMP levels as observed using an enzyme‐linked immunosorbent assay; however, the glutathione levels increased, and the protein expression of protein kinase A, CREB, and MITF reduced. These results were similar to those of an in vivo experiment on hairless mice. 13 Thus, considering the cross‐talk in photoaging among keratinocytes, melanocytes, and fibroblasts, oral administration of elastin peptide can be a promising option for anti‐wrinkle, anti‐dryness, and anti‐pigmentation treatment. While the erythema index decreased in both groups with no significant differences between them, we attribute this observation to the impact of weather, meaning that skin erythema worsened during the winter due to the dry and cold conditions. Also, prominent erythema or telangiectasia at the measuring skin area was one of the exclusion criteria when the study was conducted. Not only elastin but also collagen peptides are representative of bioactive peptides that help improve the features of ski","uv,stress,photoaging,wrinkle_elasticity,pigmentation,oxidative_stress,inflammation",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1016,DISCUSSION,"ing skin area was one of the exclusion criteria when the study was conducted. Not only elastin but also collagen peptides are representative of bioactive peptides that help improve the features of skin aging. However, to our knowledge, a head‐to‐head comparison of the efficacy between collagen and elastin peptides is lacking. Collagen peptides are reported to improve skin moisture, diminish wrinkle formation, and hold melanogenesis, thereby preventing skin photoaging, as demonstrated in vivo and in vitro studies. 30 Besides, collagen and elastin peptides appeared synergistic for photoaging skin in animal experiments. 15 Thus, further clinical studies comparing the efficacy of taking collagen, elastin peptides, or both would be warranted. In this study, a total of 16% of participants dropped out. Specifically, six out of 51 participants in the test group (11%) were excluded from the final analysis, all of which were close to the similarly designed literature. A recent study reported a total dropout rate of 16%, with 14% in the test group. 31 Another study by Kim DU et al. documented dropout rates of 17% overall, with 21% in the test group. 32 Additionally, a previous report in our group observed an 18% dropout rate overall, with 11% in the test group. 33 This study had a few limitations. First, we did not conduct a follow‐up assessment. Therefore, the duration for which the effe","photoaging,wrinkle_elasticity",38481080,CC BY,93,discussion
PMC10938029,"Oral consumption of Bonito fish‐derived elastin peptide (VGPG Elastin ® ) improves biophysical properties in aging skin: A randomized, double‐blinded, placebo‐controlled study",journal_article,PMC10938029_s1017,DISCUSSION,"roup observed an 18% dropout rate overall, with 11% in the test group. 33 This study had a few limitations. First, we did not conduct a follow‐up assessment. Therefore, the duration for which the effect of elastin peptide can be sustained after cessation of the test product could not be evaluated. Second, our study utilized only capsules and could not establish an optimal formulation to deliver the elastin. Further research is required to identify the most effective mode of administration. Third, even though all the participants were required not to change their dietary and physical activity habits, we could not strictly restrict the amount of hydration, which may affect the skin's hydration level. Lastly, the study only enrolled a single ethnic group from Korea, and most of the patients were females, which limits the generalizability of the results.","exercise,wrinkle_elasticity,barrier_hydration",38481080,CC BY,93,discussion
